               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  83,            0.023473,            0.020558,           0.0067486,              0.8661,             0.90267,              0.9149,             0.64868,             0.01835,            0.010381,           0.0016591,            0.005941,            0.005941,            0.005941
                  84,            0.027872,            0.019104,           0.0046992,             0.87331,             0.90571,             0.95864,             0.65811,            0.015494,           0.0097299,            0.001707,           0.0058915,           0.0058915,           0.0058915
                  85,            0.024268,             0.02215,           0.0059542,             0.90511,             0.90787,               0.975,             0.60996,             0.01693,            0.009548,           0.0014594,            0.005842,            0.005842,            0.005842
                  86,             0.02546,            0.020386,            0.005729,                   1,             0.91302,               0.995,             0.68961,            0.016885,           0.0093246,           0.0018194,           0.0057925,           0.0057925,           0.0057925
                  87,            0.024248,            0.019589,           0.0068676,             0.75387,             0.95626,             0.96833,             0.64567,            0.023848,           0.0095824,           0.0028985,            0.005743,            0.005743,            0.005743
                  88,            0.026904,            0.021961,           0.0053963,             0.99887,             0.85456,               0.995,             0.71155,            0.014838,           0.0091563,            0.002239,           0.0056935,           0.0056935,           0.0056935
                  89,            0.025262,            0.021545,           0.0044191,             0.91648,             0.95161,             0.98357,             0.63515,            0.018315,           0.0093235,           0.0015733,            0.005644,            0.005644,            0.005644
                  90,            0.028241,            0.022701,           0.0054949,             0.96567,             0.90613,             0.98357,             0.71018,            0.013487,           0.0092533,           0.0014968,           0.0055945,           0.0055945,           0.0055945
                  91,            0.025249,            0.019878,           0.0057035,             0.95702,             0.83333,             0.95157,             0.68471,            0.016575,           0.0093699,            0.001167,            0.005545,            0.005545,            0.005545
                  92,            0.024668,            0.021435,           0.0050194,             0.82637,             0.96114,             0.96083,             0.67945,            0.013527,           0.0096893,           0.0010479,           0.0054955,           0.0054955,           0.0054955
